infected,id,ances,weight,date,ances.date,sp,sp_infector,infector
64420015_0,1,4,0,2008-12-31T23:00:00Z,2007-12-31T23:00:00Z,cattle,badger,45_d500_160_0
45_d500_157_858_0,2,82,0,2013-08-31T22:00:00Z,2013-02-28T23:00:00Z,badger,cattle,64449006_4
45_d500_99_839_0,3,4,0,2013-04-30T22:00:00Z,2007-12-31T23:00:00Z,badger,badger,45_d500_160_0
45_d500_160_0,4,NA,NA,2007-12-31T23:00:00Z,NA,badger,NA,NA
64420015_1,5,4,0,2008-02-29T23:00:00Z,2007-12-31T23:00:00Z,cattle,badger,45_d500_160_0
64420015_2,6,4,0,2008-11-30T23:00:00Z,2007-12-31T23:00:00Z,cattle,badger,45_d500_160_0
64326020_2,7,4,0,2009-06-30T22:00:00Z,2007-12-31T23:00:00Z,cattle,badger,45_d500_160_0
64326020_7,8,4,0,2009-06-30T22:00:00Z,2007-12-31T23:00:00Z,cattle,badger,45_d500_160_0
64326020_9,9,4,0,2009-04-30T22:00:00Z,2007-12-31T23:00:00Z,cattle,badger,45_d500_160_0
64420002_0,10,4,0.005882708657051434,2009-12-31T23:00:00Z,2007-12-31T23:00:00Z,cattle,badger,45_d500_160_0
64459003_0,11,4,0,2012-07-31T22:00:00Z,2007-12-31T23:00:00Z,cattle,badger,45_d500_160_0
64459003_1,12,4,0,2012-07-31T22:00:00Z,2007-12-31T23:00:00Z,cattle,badger,45_d500_160_0
64420015_3,13,4,0,2012-02-29T23:00:00Z,2007-12-31T23:00:00Z,cattle,badger,45_d500_160_0
64420035_1,14,4,0.005882708657051434,2012-05-31T22:00:00Z,2007-12-31T23:00:00Z,cattle,badger,45_d500_160_0
64459003_2,15,4,0,2012-07-31T22:00:00Z,2007-12-31T23:00:00Z,cattle,badger,45_d500_160_0
64459003_3,16,4,0.005882708657051434,2012-07-31T22:00:00Z,2007-12-31T23:00:00Z,cattle,badger,45_d500_160_0
64459003_4,17,4,0,2012-07-31T22:00:00Z,2007-12-31T23:00:00Z,cattle,badger,45_d500_160_0
45_d500_155_880_0,18,4,0,2015-01-31T23:00:00Z,2007-12-31T23:00:00Z,badger,badger,45_d500_160_0
64459003_5,19,4,0,2012-07-31T22:00:00Z,2007-12-31T23:00:00Z,cattle,badger,45_d500_160_0
64420015_4,20,4,0,2012-01-31T23:00:00Z,2007-12-31T23:00:00Z,cattle,badger,45_d500_160_0
45_d500_157_852_0,21,4,0,2012-08-31T22:00:00Z,2007-12-31T23:00:00Z,badger,badger,45_d500_160_0
64449006_0,22,82,0,2013-03-31T22:00:00Z,2013-02-28T23:00:00Z,cattle,cattle,64449006_4
45_d500_65_0,23,108,0,2020-01-31T23:00:00Z,2014-04-30T22:00:00Z,badger,cattle,64508019_5
64420015_5,24,4,0,2012-02-29T23:00:00Z,2007-12-31T23:00:00Z,cattle,badger,45_d500_160_0
64420035_2,25,4,0,2012-05-31T22:00:00Z,2007-12-31T23:00:00Z,cattle,badger,45_d500_160_0
64459003_6,26,4,0,2012-07-31T22:00:00Z,2007-12-31T23:00:00Z,cattle,badger,45_d500_160_0
64459003_7,27,4,0,2012-07-31T22:00:00Z,2007-12-31T23:00:00Z,cattle,badger,45_d500_160_0
40119050_0,28,4,0.005882708657051434,2016-01-31T23:00:00Z,2007-12-31T23:00:00Z,cattle,badger,45_d500_160_0
64459003_10,29,4,0,2012-07-31T22:00:00Z,2007-12-31T23:00:00Z,cattle,badger,45_d500_160_0
64459003_9,30,4,0.005882708657051434,2012-07-31T22:00:00Z,2007-12-31T23:00:00Z,cattle,badger,45_d500_160_0
64459003_8,31,4,0,2012-07-31T22:00:00Z,2007-12-31T23:00:00Z,cattle,badger,45_d500_160_0
64459003_11,32,4,0.005873843664867655,2012-07-31T22:00:00Z,2007-12-31T23:00:00Z,cattle,badger,45_d500_160_0
