infected,id,ances,weight,date,ances.date,sp,sp_infector,infector
64420015_0,1,16,0,2009-06-30T22:00:00Z,2009-01-31T23:00:00Z,cattle,cattle,64420015_11
64420015_1,2,16,0,2009-04-30T22:00:00Z,2009-01-31T23:00:00Z,cattle,cattle,64420015_11
64420015_2,3,16,0,2009-02-28T23:00:00Z,2009-01-31T23:00:00Z,cattle,cattle,64420015_11
64420015_3,4,16,0,2009-04-30T22:00:00Z,2009-01-31T23:00:00Z,cattle,cattle,64420015_11
64420015_4,5,16,0,2009-04-30T22:00:00Z,2009-01-31T23:00:00Z,cattle,cattle,64420015_11
64420015_5,6,16,0,2009-04-30T22:00:00Z,2009-01-31T23:00:00Z,cattle,cattle,64420015_11
64420015_7,7,16,0,2009-04-30T22:00:00Z,2009-01-31T23:00:00Z,cattle,cattle,64420015_11
64420015_6,8,16,0,2009-04-30T22:00:00Z,2009-01-31T23:00:00Z,cattle,cattle,64420015_11
40270058_0,9,16,0,2009-07-31T22:00:00Z,2009-01-31T23:00:00Z,cattle,cattle,64420015_11
64420015_8,10,16,0,2009-04-30T22:00:00Z,2009-01-31T23:00:00Z,cattle,cattle,64420015_11
40270058_1,11,16,0,2009-08-31T22:00:00Z,2009-01-31T23:00:00Z,cattle,cattle,64420015_11
64420015_9,12,16,0,2009-06-30T22:00:00Z,2009-01-31T23:00:00Z,cattle,cattle,64420015_11
64420015_10,13,16,0,2009-04-30T22:00:00Z,2009-01-31T23:00:00Z,cattle,cattle,64420015_11
64420015_12,14,16,0,2009-04-30T22:00:00Z,2009-01-31T23:00:00Z,cattle,cattle,64420015_11
64420015_13,15,16,0,2009-04-30T22:00:00Z,2009-01-31T23:00:00Z,cattle,cattle,64420015_11
64420015_11,16,NA,NA,2009-01-31T23:00:00Z,NA,cattle,NA,NA
64420015_15,17,16,0,2009-04-30T22:00:00Z,2009-01-31T23:00:00Z,cattle,cattle,64420015_11
64420015_16,18,16,0,2009-04-30T22:00:00Z,2009-01-31T23:00:00Z,cattle,cattle,64420015_11
64420015_14,19,16,0.005873826245151703,2009-04-30T22:00:00Z,2009-01-31T23:00:00Z,cattle,cattle,64420015_11
64420015_18,20,16,0,2009-06-30T22:00:00Z,2009-01-31T23:00:00Z,cattle,cattle,64420015_11
64420015_17,21,16,0,2009-04-30T22:00:00Z,2009-01-31T23:00:00Z,cattle,cattle,64420015_11
40270058_2,22,16,0,2009-07-31T22:00:00Z,2009-01-31T23:00:00Z,cattle,cattle,64420015_11
64420015_20,23,16,0,2009-06-30T22:00:00Z,2009-01-31T23:00:00Z,cattle,cattle,64420015_11
64420015_19,24,16,0,2009-04-30T22:00:00Z,2009-01-31T23:00:00Z,cattle,cattle,64420015_11
40089001_0,25,39,0,2012-04-30T22:00:00Z,2012-03-31T22:00:00Z,cattle,cattle,40089001_14
64420015_21,26,16,0,2009-04-30T22:00:00Z,2009-01-31T23:00:00Z,cattle,cattle,64420015_11
64420015_22,27,16,0,2009-04-30T22:00:00Z,2009-01-31T23:00:00Z,cattle,cattle,64420015_11
40089001_1,28,16,0,2012-04-30T22:00:00Z,2009-01-31T23:00:00Z,cattle,cattle,64420015_11
40089001_3,29,16,0,2012-04-30T22:00:00Z,2009-01-31T23:00:00Z,cattle,cattle,64420015_11
40089001_4,30,16,0,2012-04-30T22:00:00Z,2009-01-31T23:00:00Z,cattle,cattle,64420015_11
40089001_2,31,16,0.005873826245151703,2012-04-30T22:00:00Z,2009-01-31T23:00:00Z,cattle,cattle,64420015_11
40089001_6,32,16,0,2012-04-30T22:00:00Z,2009-01-31T23:00:00Z,cattle,cattle,64420015_11
40089001_5,33,16,0,2012-04-30T22:00:00Z,2009-01-31T23:00:00Z,cattle,cattle,64420015_11
40089001_7,34,16,0,2012-04-30T22:00:00Z,2009-01-31T23:00:00Z,cattle,cattle,64420015_11
40089001_8,35,39,0,2012-04-30T22:00:00Z,2012-03-31T22:00:00Z,cattle,cattle,40089001_14
40089001_10,36,16,0,2012-04-30T22:00:00Z,2009-01-31T23:00:00Z,cattle,cattle,64420015_11
40089001_9,37,16,0,2012-04-30T22:00:00Z,2009-01-31T23:00:00Z,cattle,cattle,64420015_11
40089001_12,38,39,0,2012-04-30T22:00:00Z,2012-03-31T22:00:00Z,cattle,cattle,40089001_14
40089001_14,39,16,0.005882626888894255,2012-03-31T22:00:00Z,2009-01-31T23:00:00Z,cattle,cattle,64420015_11
40089001_11,40,16,0,2012-04-30T22:00:00Z,2009-01-31T23:00:00Z,cattle,cattle,64420015_11
40089001_13,41,16,0,2012-04-30T22:00:00Z,2009-01-31T23:00:00Z,cattle,cattle,64420015_11
40089001_15,42,16,0,2012-04-30T22:00:00Z,2009-01-31T23:00:00Z,cattle,cattle,64420015_11
40089001_17,43,16,0,2012-04-30T22:00:00Z,2009-01-31T23:00:00Z,cattle,cattle,64420015_11
40089001_19,44,16,0,2012-04-30T22:00:00Z,2009-01-31T23:00:00Z,cattle,cattle,64420015_11
40089001_18,45,16,0,2012-04-30T22:00:00Z,2009-01-31T23:00:00Z,cattle,cattle,64420015_11
40089001_16,46,16,0,2012-04-30T22:00:00Z,2009-01-31T23:00:00Z,cattle,cattle,64420015_11
40089001_22,47,16,0,2012-04-30T22:00:00Z,2009-01-31T23:00:00Z,cattle,cattle,64420015_11
40089001_21,48,16,0,2012-04-30T22:00:00Z,2009-01-31T23:00:00Z,cattle,cattle,64420015_11
40089001_20,49,16,0,2012-04-30T22:00:00Z,2009-01-31T23:00:00Z,cattle,cattle,64420015_11
